arm,seed,case,env_id,fall_by_height_channel,fall_by_tilt_channel,fall_by_either,max_continuous_low_height_s,max_continuous_tilted_s,terrain_z_min,terrain_z_max,terrain_z_span_m
A033,101,rough_lateral,16,0,0,0,0.0,0.0,0.05712255182113239,0.06187724557152406,0.00475469375039167
A033,101,rough_lateral,17,0,0,0,0.22,0.46,0.05606031162853547,0.06250620143298796,0.006445889804452494
A033,101,rough_lateral,18,0,0,0,0.26,0.32,0.05647438987691135,0.06148131263447318,0.00500692275756183
A033,101,rough_lateral,19,1,1,1,0.7,0.88,0.05619844650839739,0.06395296107001483,0.007754514561617437
A033,101,rough_lateral,20,1,1,1,4.58,5.84,0.05582628913104216,0.0651291933926669,0.009302904261624743
A033,101,rough_lateral,21,0,0,0,0.0,0.08,0.056344098585812165,0.06308856494923964,0.00674446636342748
A033,101,rough_lateral,22,0,0,0,0.08,0.26,0.05137506780777386,0.06269905783913353,0.01132399003135967
A033,101,rough_lateral,23,0,1,1,0.16,0.5,0.056785297903785094,0.06437128240411932,0.007585984500334229
A033,101,rough_lateral,24,0,1,1,0.42,0.64,0.05266054938821232,0.06475649542987028,0.012095946041657958
A033,101,rough_lateral,25,0,1,1,0.4,1.0,0.05401572569168825,0.06514892986114013,0.011133204169451877
A033,101,rough_lateral,26,0,0,0,0.34,0.48,0.054751717470546454,0.06294789033777573,0.008196172867229276
A033,101,rough_lateral,27,0,1,1,0.4,0.88,0.05524433360380285,0.06410932285900423,0.008864989255201378
A033,101,rough_lateral,28,0,0,0,0.1,0.34,0.05471406008470504,0.06468446496973701,0.009970404885031967
A033,101,rough_lateral,29,0,1,1,0.36,0.54,0.05611441097157524,0.06518504708845985,0.009070636116884606
A033,101,rough_lateral,30,0,1,1,0.38,0.76,0.05694641276476855,0.06689415386016356,0.009947741095395014
A033,101,rough_lateral,31,1,1,1,0.58,0.74,0.05341721601027218,0.06327590330399294,0.009858687293720754
A033,202,rough_lateral,0,1,1,1,0.82,0.9,0.0555380958924319,0.06464096314129344,0.009102867248861543
A033,202,rough_lateral,1,0,0,0,0.0,0.08,0.056873902917545745,0.06373699208631872,0.0068630891687729775
A033,202,rough_lateral,2,0,0,0,0.0,0.0,0.03185227338005515,0.06440999036166757,0.032557716981612424
A033,202,rough_lateral,3,0,1,1,0.34,0.52,0.05883508570053998,0.06368278054630055,0.004847694845760572
A033,202,rough_lateral,4,0,0,0,0.0,0.0,0.058551176346559576,0.0637769444103547,0.005225768063795121
A033,202,rough_lateral,5,0,0,0,0.3,0.46,0.05886530748663102,0.06273674582415086,0.0038714383375198363
A033,202,rough_lateral,6,0,0,0,0.2,0.4,0.0553419551747368,0.06510633580824908,0.00976438063351228
